Category,Label,PR_General Description and Objective of the Project to be Procured,PR_Type of the Project to be Procured,PR_Quantity and Size of the Project to be Procured,PR_Recommended Mode of Procurement,PR_Pre-Procurement Conference Applicable (Yes/No),PR_Start of Procurement Activity,PR_End of Procurement Activity,PR_Expected Delivery/Implementation Period,PR_Source of Funds,PR_Estimated Budget Allocation (Php),PR_Attached Supporting Documents,PR_Remarks,PO_General Description and Objective of the Project to be Procured,PO_Type of the Project to be Procured,PO_Quantity and Size of the Project to be Procured,PO_Recommended Mode of Procurement,PO_Pre-Procurement Conference Applicable (Yes/No),PO_Start of Procurement Activity,PO_End of Procurement Activity,PO_Expected Delivery/Implementation Period,PO_Source of Funds,PO_Estimated Budget Allocation (Php),PO_Attached Supporting Documents,PO_Remarks,PR_General_Desc,PO_General_Desc
DBM,OK,Procurement of Office Supplies,Goods,2 btls. Ink T663 magentaaa,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,80000,,,Procurement of Office Supplies,Goods,2 btls. Ink T663 magentaaa,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,80000,,,Procurement of Office Supplies | Goods | 2 btls. Ink T663 magentaaa | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 80000 | DBM,Procurement of Office Supplies | Goods | 2 btls. Ink T663 magentaaa | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 80000 | DBM | Procurement of Office Supplies | Goods | 2 btls. Ink T663 magentaaa | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 80000 | DBM
DBM,OK,Procurement of Office Supplies,Goods,2 btls. Ink T664 yellow,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,Goods,2 btls. Ink T664 yellow,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies | Goods | 2 btls. Ink T664 yellow | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | Goods | 2 btls. Ink T664 yellow | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM | Procurement of Office Supplies | Goods | 2 btls. Ink T664 yellow | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
DBM,Discrepancy,Procurement of Office Supplies,GoodsD,2 rolls Masking Tape 2 inchesss,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,GoodsD updated,2 rolls Masking Tape 2 inchesss updated,Agency to Agency,No,January 2026,December 2026 updated,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies | GoodsD | 2 rolls Masking Tape 2 inchesss | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | GoodsD updated | 2 rolls Masking Tape 2 inchesss updated | Agency to Agency | No | January 2026 | December 2026 updated | Jan. - Dec. 2026 | GF | 0 | DBM | Procurement of Office Supplies | GoodsD | 2 rolls Masking Tape 2 inchesss | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
DBM,Discrepancy,Procurement of Office Supplies,Goods,24 pcs. Ballpen LV 0.5 blue and black,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,Goods,24 pcs. Ballpen LV 0.5 blue and black updated,Agency to Agency updated,No,January 2026 updated,December 2026 updated,Jan. - Dec. 2026 updated,GF updated,0,,,Procurement of Office Supplies | Goods | 24 pcs. Ballpen LV 0.5 blue and black | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | Goods | 24 pcs. Ballpen LV 0.5 blue and black updated | Agency to Agency updated | No | January 2026 updated | December 2026 updated | Jan. - Dec. 2026 updated | GF updated | 0 | DBM | Procurement of Office Supplies | Goods | 24 pcs. Ballpen LV 0.5 blue and black | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
DBM,Discrepancy,Procurement of Office Supplies,Goods,30 btls. Ink 003 black,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,Goods,30 btls. Ink 003 black updated,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF updated,0,,,Procurement of Office Supplies | Goods | 30 btls. Ink 003 black | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | Goods | 30 btls. Ink 003 black updated | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF updated | 0 | DBM | Procurement of Office Supplies | Goods | 30 btls. Ink 003 black | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
DBM,OK,Procurement of Office Supplies,Goods,10 btls. Ink 003 cyan,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,Goods,10 btls. Ink 003 cyan,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies | Goods | 10 btls. Ink 003 cyan | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | Goods | 10 btls. Ink 003 cyan | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM | Procurement of Office Supplies | Goods | 10 btls. Ink 003 cyan | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
DBM,Discrepancy,Procurement of Office Supplies,Goods,10 btls. Ink 003 magenta,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,Goods updated,10 btls. Ink 003 magenta updated,Agency to Agency updated,No updated,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies | Goods | 10 btls. Ink 003 magenta | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | Goods updated | 10 btls. Ink 003 magenta updated | Agency to Agency updated | No updated | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM | Procurement of Office Supplies | Goods | 10 btls. Ink 003 magenta | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
DBM,OK,Procurement of Office Supplies,Goods,10 btls. Ink 003 yellow,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,Goods,10 btls. Ink 003 yellow,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies | Goods | 10 btls. Ink 003 yellow | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | Goods | 10 btls. Ink 003 yellow | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM | Procurement of Office Supplies | Goods | 10 btls. Ink 003 yellow | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
DBM,Discrepancy,Procurement of Office Supplies,Goods,5 pcs. Logbook 300 pages,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,Goods updated,5 pcs. Logbook 300 pages updated,Agency to Agency updated,No updated,January 2026 updated,December 2026 updated,Jan. - Dec. 2026,GF updated,0,,,Procurement of Office Supplies | Goods | 5 pcs. Logbook 300 pages | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | Goods updated | 5 pcs. Logbook 300 pages updated | Agency to Agency updated | No updated | January 2026 updated | December 2026 updated | Jan. - Dec. 2026 | GF updated | 0 | DBM | Procurement of Office Supplies | Goods | 5 pcs. Logbook 300 pages | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
DBM,OK,Procurement of Office Supplies,Goods,2 rolls Scotch tape,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies,Goods,2 rolls Scotch tape,Agency to Agency,No,January 2026,December 2026,Jan. - Dec. 2026,GF,0,,,Procurement of Office Supplies | Goods | 2 rolls Scotch tape | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM,Procurement of Office Supplies | Goods | 2 rolls Scotch tape | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM | Procurement of Office Supplies | Goods | 2 rolls Scotch tape | Agency to Agency | No | January 2026 | December 2026 | Jan. - Dec. 2026 | GF | 0 | DBM
NON-DBM,OK,Procurement of ICT Equipment,Goods,"2 units Laptop Computer, Intel i5, at least 8GB RAM, 512GB SSD, 15.6-inch display",Public Bidding,Yes,March 2026,May 2026,June 2026,GF,140000,,,Procurement of ICT Equipment,Goods,"2 units Laptop Computer, Intel i5, at least 8GB RAM, 512GB SSD, 15.6-inch display",Public Bidding,Yes,March 2026,May 2026,June 2026,GF,140000,,,"Procurement of ICT Equipment | Goods | 2 units Laptop Computer, Intel i5, at least 8GB RAM, 512GB SSD, 15.6-inch display | Public Bidding | Yes | March 2026 | May 2026 | June 2026 | GF | 140000 | NON-DBM","Procurement of ICT Equipment | Goods | 2 units Laptop Computer, Intel i5, at least 8GB RAM, 512GB SSD, 15.6-inch display | Public Bidding | Yes | March 2026 | May 2026 | June 2026 | GF | 140000 | NON-DBM | Procurement of ICT Equipment | Goods | 2 units Laptop Computer, Intel i5, at least 8GB RAM, 512GB SSD, 15.6-inch display | Public Bidding | Yes | March 2026 | May 2026 | June 2026 | GF | 140000 | NON-DBM"
