pr_text,po_text,label,issue,source,sheet,source_row,group_id
item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,Acceptable,No discrepancy,COA exact match,Sheet1,1124,Sheet1:1124
item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,item_1 description office equipment plastic folded table equipment office plastic folded table pc quantity qty_41 unit unit_piece,Acceptable,No discrepancy,COA acceptable wording variation,Sheet1,1124,Sheet1:1124
item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,item_1 description office equipment plastic table office equipment plastic folded table pc quantity qty_41 unit unit_piece,Needs Review,Incomplete or ambiguous description,COA incomplete description,Sheet1,1124,Sheet1:1124
item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,item_1 description office equipment plastic foded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,Needs Review,Minor wording or spelling difference,COA typographical variation,Sheet1,1124,Sheet1:1124
item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_43 unit unit_piece,Needs Recanvass,Quantity mismatch,COA quantity change,Sheet1,1124,Sheet1:1124
item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_pack,Needs Recanvass,Unit mismatch,COA unit discrepancy,Sheet1,1124,Sheet1:1124
item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,item_1 description other ppe body mirror other ppe body mirror pc quantity qty_41 unit unit_piece,Reject,Different item,COA unrelated item,Sheet1,1124,Sheet1:1124
item_1 description office equipment plastic folded table office equipment plastic folded table pc quantity qty_41 unit unit_piece,item_1 description acgh quantity qty_41 unit unit_piece,Reject,Different item,COA invalid or unrelated text,Sheet1,1124,Sheet1:1124
item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,Acceptable,No discrepancy,COA exact match,Sheet1,404,Sheet1:404
item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,Acceptable,No discrepancy,COA acceptable wording variation,Sheet1,404,Sheet1:404
item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,item_1 description furniture and fixtures sofa furniture and fixtures quantity qty_2 unit unit_piece,Needs Review,Incomplete or ambiguous description,COA incomplete description,Sheet1,404,Sheet1:404
item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,item_1 description furniture and fixtures sofa furniture and fitures sofa quantity qty_2 unit unit_piece,Needs Review,Minor wording or spelling difference,COA typographical variation,Sheet1,404,Sheet1:404
item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_10 unit unit_piece,Needs Recanvass,Quantity mismatch,COA quantity change,Sheet1,404,Sheet1:404
item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_ream,Needs Recanvass,Unit mismatch,COA unit discrepancy,Sheet1,404,Sheet1:404
item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,item_1 description other ppe casserole other ppe casserole pc quantity qty_2 unit unit_piece,Reject,Different item,COA unrelated item,Sheet1,404,Sheet1:404
item_1 description furniture and fixtures sofa furniture and fixtures sofa quantity qty_2 unit unit_piece,item_1 description wnkieg quantity qty_2 unit unit_piece,Reject,Different item,COA invalid or unrelated text,Sheet1,404,Sheet1:404
item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,Acceptable,No discrepancy,COA exact match,Sheet1,627,Sheet1:627
item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,item_1 description ict equipment projector 3000 ansi lumens ict projector equipment 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,Acceptable,No discrepancy,COA acceptable wording variation,Sheet1,627,Sheet1:627
item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,item_1 description ict equipment 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,Needs Review,Incomplete or ambiguous description,COA incomplete description,Sheet1,627,Sheet1:627
item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,item_1 description ict equipment projector 3000 ansi lumns ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,Needs Review,Minor wording or spelling difference,COA typographical variation,Sheet1,627,Sheet1:627
item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 1500 ansi lumens pc for return quantity qty_22 unit unit_piece,Needs Recanvass,Specification mismatch,COA specification change,Sheet1,627,Sheet1:627
item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_roll,Needs Recanvass,Unit mismatch,COA unit discrepancy,Sheet1,627,Sheet1:627
item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,item_1 description office equipment fire extinguisher office equipment fire extinguisher pc quantity qty_22 unit unit_piece,Reject,Different item,COA unrelated item,Sheet1,627,Sheet1:627
item_1 description ict equipment projector 3000 ansi lumens ict equipment projector 3000 ansi lumens pc for return quantity qty_22 unit unit_piece,item_1 description rjutl quantity qty_22 unit unit_piece,Reject,Different item,COA invalid or unrelated text,Sheet1,627,Sheet1:627
item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,Acceptable,No discrepancy,COA exact match,Sheet1,330,Sheet1:330
item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,item_1 description furniture and fixtures table w top glass furniture and fixtures table top w glass pc quantity qty_46 unit unit_piece,Acceptable,No discrepancy,COA acceptable wording variation,Sheet1,330,Sheet1:330
item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,item_1 description furniture and fixtures table w top furniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,Needs Review,Incomplete or ambiguous description,COA incomplete description,Sheet1,330,Sheet1:330
item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,item_1 description furniture and fixtures table w top glass frniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,Needs Review,Minor wording or spelling difference,COA typographical variation,Sheet1,330,Sheet1:330
item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_50 unit unit_piece,Needs Recanvass,Quantity mismatch,COA quantity change,Sheet1,330,Sheet1:330
item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_46 unit unit_piece,item_1 description furniture and fixtures table w top glass furniture and fixtures table w top glass pc quantity qty_43 unit unit_piece,Needs Recanvass,Quantity mismatch,COA quantity discrepancy,Sheet1,330,Sheet1:330
