pr_text,po_text,status,issue,group_id,source,review_status
Laptop computer; minimum 12 GB RAM,Laptop computer; offered 24 GB RAM,Acceptable,Requirement satisfied,CUR-MIN-0-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; at least 12 GB RAM,Laptop computer; offered 6 GB RAM,Needs Recanvass,Below minimum,CUR-MIN-0-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; minimum 12 GB RAM,Laptop computer; RAM included but value not stated,Needs Review,Missing or ambiguous information,CUR-MIN-0-C,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; maximum 16 GB RAM,Laptop computer; offered 8 GB RAM,Acceptable,Requirement satisfied,CUR-MAX-0-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; RAM must not exceed 16 GB,Laptop computer; offered 32 GB RAM,Needs Recanvass,Above maximum,CUR-MAX-0-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; minimum 512 GB SSD,Laptop computer; offered 1024 GB SSD,Acceptable,Requirement satisfied,CUR-MIN-1-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; at least 512 GB SSD,Laptop computer; offered 256 GB SSD,Needs Recanvass,Below minimum,CUR-MIN-1-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; minimum 512 GB SSD,Laptop computer; SSD included but value not stated,Needs Review,Missing or ambiguous information,CUR-MIN-1-C,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; maximum 768 GB SSD,Laptop computer; offered 384 GB SSD,Acceptable,Requirement satisfied,CUR-MAX-1-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Laptop computer; SSD must not exceed 768 GB,Laptop computer; offered 2048 GB SSD,Needs Recanvass,Above maximum,CUR-MAX-1-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Portable equipment; minimum 4 kg weight,Portable equipment; offered 6 kg weight,Acceptable,Requirement satisfied,CUR-MIN-2-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Portable equipment; at least 4 kg weight,Portable equipment; offered 2 kg weight,Needs Recanvass,Below minimum,CUR-MIN-2-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Portable equipment; minimum 4 kg weight,Portable equipment; weight included but value not stated,Needs Review,Missing or ambiguous information,CUR-MIN-2-C,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Portable equipment; maximum 5 kg weight,Portable equipment; offered 3 kg weight,Acceptable,Requirement satisfied,CUR-MAX-2-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Portable equipment; weight must not exceed 5 kg,Portable equipment; offered 8 kg weight,Needs Recanvass,Above maximum,CUR-MAX-2-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Electrical equipment; minimum 90 watts power consumption,Electrical equipment; offered 120 watts power consumption,Acceptable,Requirement satisfied,CUR-MIN-3-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Electrical equipment; at least 90 watts power consumption,Electrical equipment; offered 60 watts power consumption,Needs Recanvass,Below minimum,CUR-MIN-3-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Electrical equipment; minimum 90 watts power consumption,Electrical equipment; power consumption included but value not stated,Needs Review,Missing or ambiguous information,CUR-MIN-3-C,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Electrical equipment; maximum 100 watts power consumption,Electrical equipment; offered 75 watts power consumption,Acceptable,Requirement satisfied,CUR-MAX-3-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Electrical equipment; power consumption must not exceed 100 watts,Electrical equipment; offered 150 watts power consumption,Needs Recanvass,Above maximum,CUR-MAX-3-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Network switch; minimum 8 ports LAN ports,Network switch; offered 16 ports LAN ports,Acceptable,Requirement satisfied,CUR-MIN-4-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Network switch; at least 8 ports LAN ports,Network switch; offered 4 ports LAN ports,Needs Recanvass,Below minimum,CUR-MIN-4-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Network switch; minimum 8 ports LAN ports,Network switch; LAN ports included but value not stated,Needs Review,Missing or ambiguous information,CUR-MIN-4-C,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Network switch; maximum 12 ports LAN ports,Network switch; offered 5 ports LAN ports,Acceptable,Requirement satisfied,CUR-MAX-4-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Network switch; LAN ports must not exceed 12 ports,Network switch; offered 24 ports LAN ports,Needs Recanvass,Above maximum,CUR-MAX-4-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Office printer; minimum 20 ppm print speed,Office printer; offered 30 ppm print speed,Acceptable,Requirement satisfied,CUR-MIN-5-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Office printer; at least 20 ppm print speed,Office printer; offered 15 ppm print speed,Needs Recanvass,Below minimum,CUR-MIN-5-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Office printer; minimum 20 ppm print speed,Office printer; print speed included but value not stated,Needs Review,Missing or ambiguous information,CUR-MIN-5-C,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Office printer; maximum 25 ppm print speed,Office printer; offered 18 ppm print speed,Acceptable,Requirement satisfied,CUR-MAX-5-A,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
Office printer; print speed must not exceed 25 ppm,Office printer; offered 35 ppm print speed,Needs Recanvass,Above maximum,CUR-MAX-5-B,curated_seed_requires_staff_review,REVIEW_AND_CHANGE_SOURCE_TO_staff_validated
